objective_value_seconds,solver_status,solver_message,result_type,order,conveyor,tote,tote_sequence_pos,order_start_slot,order_start_seconds,order_completion_slot,order_completion_seconds,order_sequence_pos,start_slot,end_slot,units,slot,pick_time_seconds,item_type,unit,recirc_loops,release_time_seconds
,,,tote_item_sequence,1.0,1.0,0.0,,,,,,,,,,36.0,38.0,3.0,1.0,0.0,
,,,tote_item_sequence,10.0,1.0,1.0,,,,,,,,,,7.0,9.0,6.0,32.0,0.0,
,,,tote_item_sequence,10.0,1.0,1.0,,,,,,,,,,8.0,10.0,6.0,33.0,0.0,
,,,tote_item_sequence,10.0,1.0,1.0,,,,,,,,,,9.0,11.0,6.0,34.0,0.0,
,,,tote_item_sequence,6.0,1.0,1.0,,,,,,,,,,10.0,12.0,1.0,18.0,0.0,
,,,tote_item_sequence,6.0,1.0,1.0,,,,,,,,,,11.0,13.0,1.0,19.0,0.0,
,,,tote_item_sequence,7.0,1.0,3.0,,,,,,,,,,15.0,17.0,5.0,20.0,0.0,
,,,tote_item_sequence,2.0,1.0,4.0,,,,,,,,,,29.0,31.0,3.0,7.0,0.0,
,,,tote_item_sequence,2.0,1.0,4.0,,,,,,,,,,30.0,32.0,3.0,6.0,0.0,
,,,tote_item_sequence,2.0,1.0,4.0,,,,,,,,,,31.0,33.0,3.0,8.0,0.0,
,,,tote_item_sequence,3.0,1.0,7.0,,,,,,,,,,3.0,5.0,5.0,10.0,0.0,
,,,tote_item_sequence,3.0,1.0,7.0,,,,,,,,,,4.0,6.0,5.0,11.0,0.0,
,,,tote_item_sequence,9.0,1.0,8.0,,,,,,,,,,21.0,23.0,0.0,28.0,0.0,
,,,tote_item_sequence,9.0,1.0,8.0,,,,,,,,,,22.0,24.0,0.0,27.0,0.0,
,,,tote_item_sequence,9.0,1.0,8.0,,,,,,,,,,23.0,25.0,0.0,29.0,0.0,
,,,tote_item_sequence,8.0,1.0,8.0,,,,,,,,,,24.0,26.0,4.0,24.0,0.0,
,,,tote_item_sequence,8.0,1.0,8.0,,,,,,,,,,25.0,27.0,2.0,25.0,0.0,
,,,tote_item_sequence,8.0,1.0,8.0,,,,,,,,,,26.0,28.0,4.0,23.0,0.0,
,,,tote_item_sequence,4.0,1.0,9.0,,,,,,,,,,12.0,14.0,0.0,12.0,0.0,
,,,tote_item_sequence,4.0,1.0,9.0,,,,,,,,,,13.0,15.0,0.0,14.0,0.0,
,,,tote_item_sequence,4.0,1.0,9.0,,,,,,,,,,14.0,16.0,0.0,13.0,0.0,
,,,tote_item_sequence,11.0,1.0,10.0,,,,,,,,,,5.0,7.0,1.0,35.0,0.0,
,,,tote_item_sequence,4.0,1.0,10.0,,,,,,,,,,6.0,16.0,5.0,15.0,1.0,
,,,tote_item_sequence,5.0,1.0,11.0,,,,,,,,,,1.0,3.0,1.0,16.0,0.0,
,,,tote_item_sequence,5.0,1.0,12.0,,,,,,,,,,2.0,4.0,2.0,17.0,0.0,
,,,tote_item_sequence,7.0,1.0,13.0,,,,,,,,,,16.0,18.0,3.0,22.0,0.0,
,,,tote_item_sequence,7.0,1.0,13.0,,,,,,,,,,17.0,19.0,3.0,21.0,0.0,
,,,tote_item_sequence,9.0,1.0,13.0,,,,,,,,,,18.0,20.0,1.0,31.0,0.0,
,,,tote_item_sequence,9.0,1.0,13.0,,,,,,,,,,19.0,21.0,1.0,30.0,0.0,
,,,tote_item_sequence,9.0,1.0,13.0,,,,,,,,,,20.0,22.0,5.0,26.0,0.0,
,,,tote_item_sequence,2.0,1.0,14.0,,,,,,,,,,27.0,29.0,2.0,5.0,0.0,
,,,tote_item_sequence,2.0,1.0,14.0,,,,,,,,,,28.0,30.0,4.0,9.0,0.0,
,,,belt_event,5.0,1.0,11.0,,,,,,,,,,1.0,3.0,1.0,16.0,0.0,0.0
,,,belt_event,5.0,1.0,12.0,,,,,,,,,,2.0,4.0,2.0,17.0,0.0,1.0
,,,belt_event,3.0,1.0,7.0,,,,,,,,,,3.0,5.0,5.0,10.0,0.0,2.0
,,,belt_event,3.0,1.0,7.0,,,,,,,,,,4.0,6.0,5.0,11.0,0.0,3.0
,,,belt_event,11.0,1.0,10.0,,,,,,,,,,5.0,7.0,1.0,35.0,0.0,4.0
,,,belt_event,4.0,1.0,10.0,,,,,,,,,,6.0,16.0,5.0,15.0,1.0,5.0
,,,belt_event,10.0,1.0,1.0,,,,,,,,,,7.0,9.0,6.0,32.0,0.0,6.0
,,,belt_event,10.0,1.0,1.0,,,,,,,,,,8.0,10.0,6.0,33.0,0.0,7.0
,,,belt_event,10.0,1.0,1.0,,,,,,,,,,9.0,11.0,6.0,34.0,0.0,8.0
,,,belt_event,6.0,1.0,1.0,,,,,,,,,,10.0,12.0,1.0,18.0,0.0,9.0
,,,belt_event,6.0,1.0,1.0,,,,,,,,,,11.0,13.0,1.0,19.0,0.0,10.0
,,,belt_event,4.0,1.0,9.0,,,,,,,,,,12.0,14.0,0.0,12.0,0.0,11.0
,,,belt_event,4.0,1.0,9.0,,,,,,,,,,13.0,15.0,0.0,14.0,0.0,12.0
,,,belt_event,4.0,1.0,9.0,,,,,,,,,,14.0,16.0,0.0,13.0,0.0,13.0
,,,belt_event,7.0,1.0,3.0,,,,,,,,,,15.0,17.0,5.0,20.0,0.0,14.0
,,,belt_event,7.0,1.0,13.0,,,,,,,,,,16.0,18.0,3.0,22.0,0.0,15.0
,,,belt_event,7.0,1.0,13.0,,,,,,,,,,17.0,19.0,3.0,21.0,0.0,16.0
,,,belt_event,9.0,1.0,13.0,,,,,,,,,,18.0,20.0,1.0,31.0,0.0,17.0
,,,belt_event,9.0,1.0,13.0,,,,,,,,,,19.0,21.0,1.0,30.0,0.0,18.0
,,,belt_event,9.0,1.0,13.0,,,,,,,,,,20.0,22.0,5.0,26.0,0.0,19.0
,,,belt_event,9.0,1.0,8.0,,,,,,,,,,21.0,23.0,0.0,28.0,0.0,20.0
,,,belt_event,9.0,1.0,8.0,,,,,,,,,,22.0,24.0,0.0,27.0,0.0,21.0
,,,belt_event,9.0,1.0,8.0,,,,,,,,,,23.0,25.0,0.0,29.0,0.0,22.0
,,,belt_event,8.0,1.0,8.0,,,,,,,,,,24.0,26.0,4.0,24.0,0.0,23.0
,,,belt_event,8.0,1.0,8.0,,,,,,,,,,25.0,27.0,2.0,25.0,0.0,24.0
,,,belt_event,8.0,1.0,8.0,,,,,,,,,,26.0,28.0,4.0,23.0,0.0,25.0
,,,belt_event,2.0,1.0,14.0,,,,,,,,,,27.0,29.0,2.0,5.0,0.0,26.0
,,,belt_event,2.0,1.0,14.0,,,,,,,,,,28.0,30.0,4.0,9.0,0.0,27.0
,,,belt_event,2.0,1.0,4.0,,,,,,,,,,29.0,31.0,3.0,7.0,0.0,28.0
,,,belt_event,2.0,1.0,4.0,,,,,,,,,,30.0,32.0,3.0,6.0,0.0,29.0
,,,belt_event,2.0,1.0,4.0,,,,,,,,,,31.0,33.0,3.0,8.0,0.0,30.0
,,,belt_event,1.0,1.0,0.0,,,,,,,,,,32.0,34.0,1.0,4.0,0.0,31.0
,,,belt_event,1.0,1.0,0.0,,,,,,,,,,33.0,35.0,1.0,3.0,0.0,32.0
,,,belt_event,1.0,1.0,0.0,,,,,,,,,,34.0,36.0,3.0,2.0,0.0,33.0
,,,belt_event,1.0,1.0,0.0,,,,,,,,,,35.0,37.0,3.0,0.0,0.0,34.0
,,,belt_event,1.0,1.0,0.0,,,,,,,,,,36.0,38.0,3.0,1.0,0.0,35.0
